['theta(0)'],['theta(t_end)']
1.2295506889304249,4.3935375875050742
5.6849390482984337,2.3119391965317959
2.3972506059979142,4.4319277217648265
4.6089488964070213,0.28792600694814802
4.3039606075656502,1.0983843968762685
1.4492275683056786,6.0827034949342087
2.8056789788169536,0.18235313773382708
3.0296214286655134,2.102926243339807
2.8717953211531952,4.8520864133854573
2.831272401656789,1.4886840951837581
2.8387371499850742,3.4092572007897379
2.3375326193716313,4.1973213457330028
2.8707289285348687,0.64303474885086398
1.4556259240156373,6.2458615655381591
1.7019626188490529,3.4775063283626326
4.6441398528117954,0.46494718159034276
1.5985225348713847,5.6348185952370899
3.4209875195913293,5.7329267161231252
2.4228440288377495,2.4868275859373377
0.34871038619275707,4.937397822851576
5.7830471691844698,4.0938812617553344
2.6243922337014531,1.668904447680932
3.5948095163785445,2.9272477373061716
2.4900267637923172,5.8363668001007936
0.31245303716965694,5.6006940314506428
2.9197829889778864,5.5047186958012597
4.1077443657935788,2.0506730050418098
3.7249094158143743,2.9219157742145394
3.8400798185936336,5.1240165310587082
1.796871561880109,4.2719688290158553
2.8291396164201359,1.2732727862818103
3.9851092146860343,1.1378409237543481
4.5129735607576391,3.5617513452104239
3.4305850531562676,2.5145537940138261
3.0680115629252662,1.4641570649622491
3.7835610098223307,1.5867922160697936
4.475649819116212,5.3639548701821651
5.6134907428705603,1.4556259240156373
4.0480263791672959,5.7094660785199434
4.8019659603241136,5.4044777896785714
2.7907494821603831,5.5132498367478719
2.6969069317476535,4.5460317319257593
1.21888676274716,5.2551828231128646
5.3660876554188182,4.5129735607576391
4.0011051039609313,3.595875908996871
2.7448945995723446,3.258895841605705
0.45854882588038393,3.6939840298829067
3.6950504225012333,1.1687663096858156
0.26019979887165973,0.78166578923330565
0.75074040330183789,1.9568304546290802
4.0085698522892166,2.1903704380425779
5.4673949541598335,3.7739634762573924
3.5244276035689972,2.4399063107309731
5.2135935109981322,2.3545949012648553
4.2090516645345941,0.81365756778309983
3.687585674172948,0.8541804872795058
0.15356053703901229,1.5974561422530584
1.7819420652235385,2.9560403380009865
3.6385316137299299,2.1999679716075162
3.8262167145553896,3.1831819657045255
0.75180679592016431,4.1162755067401902
4.356213845863647,1.3063309574499309
3.1959786771244434,2.7928822673970362
4.9096716147750872,3.8720715971434281
5.0483026551575287,3.076542703871878
3.5254939961873237,3.2162401368726461
2.680911042472756,4.2378442652294082
5.6934701892450459,3.6822537110813154
4.1994541309696558,3.3857965631865556
4.2410434430843882,2.5006906899755821
0.3476439935744306,3.8411462112119601
1.3788456554961313,3.8710052045251016
4.1653295671832087,1.7851412430785178
3.944586295189628,2.1882376528059253
4.1344041812517407,1.5739955046498759
3.8870010937999986,3.0349533917571456
3.7537020165091892,1.4886840951837581
5.5697686455191748,3.5180292478590385
0.32311696335292167,2.7065044653125914
2.1018598507214805,3.1778500026128933
5.0738960779973645,2.2148974682640867
0.85204770204285285,2.7331642807707532
1.0088074169368446,3.046683710558737
1.0834549002196978,3.3378088953618641
1.0877204706930037,1.9514984915374478
4.9331322523782699,2.0336107231485863
3.9531174361362398,2.8387371499850742
1.9333698170258977,3.7579675869824953
4.0064370670525635,2.5145537940138261
4.019233778472481,1.5142775180235934
5.0515018330125088,6.2096042165150598
4.8147626717440311,1.0546622995248831
0.56092251723972542,0.90856651081415607
4.1269394329234554,2.2095655051724545
2.4676325188074615,1.4876177025654316
5.2093279405248269,1.5036135918403286
0.77420104090502029,6.1765460453469387
0.38390134259753073,1.691298692665788
3.4049916303164323,1.3031317795949515
3.6385316137299299,1.1676999170674893
2.8163429050002184,0.81152478254644689
3.4369834088662263,3.3580703551100672
0.39136609092581603,4.4831145674444972
3.8624740635784898,4.3103589632756085
5.544175222679339,5.7020013301916572
2.4388399181126466,1.8651206894530035
1.5803938603598349,4.7593102555910543
4.0128354227625227,3.6523947177681744
0.23673916126847727,5.1645394505551145
2.7875503043054035,4.9384642154699021
5.0642985444324262,3.7238430231960478
5.6209554911988455,4.7251856918046071
3.9211256575864457,3.3623359255833734
2.3279350858066934,2.9453764118177217
1.2583432896252396,3.6470627546765417
2.0496066124234833,3.5841455901952797
3.7654323353107806,3.046683710558737
2.6499856565412885,3.303684331575417
2.4537694147692171,2.8280732238018098
3.7590339796008214,2.1039926359581336
2.4814956228457055,3.3847301705682291
3.2834228718272143,3.5606849525920974
4.0864165134270491,2.6393217303580236
0.035190956404773648,3.0616132072153075
