['u'],['m1'],['abs_m1']
0.77983967643030605,(-0.256682695408-0.14446851234j),0.29454567927549052
1.1412878244610671,(-0.228096032488-0.211457205604j),0.31103367958867006
1.4409543830921752,(-0.196003733883-0.268758534364j),0.3326388634687264
1.6585786407299934,(-0.153222447547-0.317179001104j),0.3522493962711945
1.7972465665402937,(-0.0995733125053-0.357544771383j),0.37115105833974754
1.8400163671137242,(-0.0381068591558-0.385285100174j),0.38716500504460655
1.7535253065489762,(0.0194094452454-0.391476831332j),0.39195769674116948
1.6617675917650641,(0.072925350092-0.39169705394j),0.39842777105956906
1.5327574435431204,(0.129854297206-0.379648809942j),0.40124226770550703
1.3210518050265188,(0.185025407331-0.351429335226j),0.39716114993225654
1.0297507149713148,(0.233749884982-0.305986169184j),0.38505395006545917
0.64997628449556244,(0.306572342294-0.233613401242j),0.38543718333769678
0.27239688025981657,(0.361981050548-0.152374878851j),0.39274468126326323
-0.07367965647081326,(0.385745378312-0.0613857318408j),0.39059916149734353
-0.38867614747045887,(0.379847445334+0.0391791229159j),0.38186265253229462
-0.67150029265829048,(0.343055986011+0.142239164168j),0.37137499829807397
-0.8769710825250322,(0.290556890282+0.221896002259j),0.36559696703963729
-1.0142710004572462,(0.213105343649+0.283444832073j),0.35461931746690317
-1.1082302481307345,(0.117703304825+0.323610123682j),0.34435095486509615
-1.1830486038505783,(0.0193778995432+0.340367556423j),0.34091872412056046
-1.2260218792584783,(-0.0808531238381+0.332125731045j),0.34182558250702266
-1.2123961085511477,(-0.173343782301+0.304404023079j),0.35029969473153755
-1.0348413642854739,(-0.237108789668+0.242096655284j),0.33886777456288147
-0.7674264643105001,(-0.286443136709+0.16941934633j),0.33279511035880738
-0.43391903562426881,(-0.317999209665+0.0908673536015j),0.33072703744615911
-0.035678304036277864,(-0.31893566749+0.00862006128896j),0.31905213594986986
0.36217591220423673,(-0.303003176457-0.0699075055648j),0.31096299502922004
0.73472476789731733,(-0.286069940034-0.142773549326j),0.31971909073136345
