['theta(0)'],['theta(t_end)']
2.8792600694814805,5.568702252900849
5.1933320512499295,3.4071244155530853
3.0509492810320427,6.018719937834621
2.4249768140744026,1.1037163599679007
4.629210356155225,0.6515658897974758
3.1170656233682843,4.843555272438846
0.49054060443017816,4.106677973175252
6.2298656762632625,0.9981434907535799
6.236264031973221,0.9608197491121533
0.2687309398182715,5.390614685640327
2.389785857669629,1.7830084578418648
3.15758854286469,2.4388399181126466
3.456178475996103,3.658793073478133
0.5363954870182165,2.60413077395325
4.687861950163181,3.1757172173762402
4.403135121070012,0.7571387590117967
3.555352989500465,6.27891973670628
3.901930590456569,6.052844501621068
3.1159992307499578,4.164263174564882
2.881392854718133,4.6174800373536335
5.478058880343098,2.632923374648065
3.5414898854622208,2.748093777427324
2.4143128878911377,1.5707963267948966
2.206366327317475,2.356727686501508
0.9032345477225237,5.32343195068576
2.448437451677585,0.31245303716965694
2.8366043647484216,6.190409149385183
3.7494364460358836,6.114695273484003
3.194912284506117,0.643034748850864
2.7448945995723446,0.6984871650038406
2.1594450521111104,0.8776411248826883
3.2215720999642787,5.15387552437185
1.792605991406803,0.9597533564938268
1.6390454543677908,5.351158158762248
4.309292570657282,4.085350120808723
1.198625302998957,4.852086413385457
3.1181320159866104,4.234645087374429
2.9112518480312746,4.716654550857996
3.397526881988147,5.506851481037913
2.3513957234098757,3.0093599689173103
1.7862076356968444,4.65480377899506
4.438326077474786,4.422330188199888
4.788102856285869,3.1938458918877903
4.885144584553578,3.52975956666063
5.176269769356706,3.082941059581837
3.6449299694398887,2.736363458625733
2.9901649017874337,0.8840394805926471
4.868082302660355,1.841660051849821
2.205299934699149,5.696669367100025
0.29112518480312743,5.6209554911988455
2.066668894316707,5.890752823635443
0.16849003369558294,6.22453371317163
4.943796178561534,1.135708138517695
6.056043679476047,0.3476439935744306
1.6358462765128114,0.44681850707879267
4.78490367843089,0.3028555036047187
1.6742364107725645,0.1780875672605212
4.490579315772783,5.9280765652768705
4.3711433425202175,5.872624149123894
2.77048802241218,4.053358342258928
5.760652924199614,5.159207487463482
4.61854642997196,4.686795557544854
2.6211930558464736,4.519371916467597
2.6371889451213706,4.468185070787927
3.8240839293187365,4.175993493366473
3.393261311514841,4.586554651422166
3.3985932746064735,5.42900481990008
3.422053912209656,5.419407286335142
6.192541934621835,4.332753208260465
4.790235641522522,3.908328946166528
3.354871177255088,4.5236374869409035
2.997629650115719,4.944862571179861
3.532958744515609,5.459930205831548
4.3690105572835645,5.452465457503263
4.366877772046912,4.892609332881864
3.760100372219148,3.4796391135992852
4.716654550857996,3.9840428220677078
3.3388752879801906,4.74544715155281
3.182115573086199,3.7366397346159657
4.346616312298709,4.094947654373661
3.0061607910623307,4.305027000183976
3.033886999138819,3.85927488572351
4.262371295450918,3.206642603307708
4.136536966488394,2.7800855559771183
3.2119745663993404,2.952841160146007
3.588411160668586,2.997629650115719
1.9920214110338539,3.346340036308476
1.6763691960092175,2.5582758913652115
1.963228810339039,2.606263559189903
3.1757172173762402,2.3513957234098757
0.08211223161113851,1.1591687761208775
4.867015910042029,1.8181994142466384
2.500690689975582,1.6870331221924821
1.5142775180235934,1.965361595575692
2.898455136611357,0.973616460532071
3.087206630055143,5.688138226153414
3.267426982552317,6.080570709697556
4.592953007132125,6.250127136011465
3.8198183588454304,0.06504994971791493
2.9560403380009865,0.33271449691786
5.108020641783812,0.6259724669576404
5.188000088158297,0.8339190275313029
3.660925858714786,1.0557286921432094
4.2783671847258145,4.720920121331301
0.14289661085574754,0.4670799668269957
3.6395980063482565,4.805165138179093
2.6414545155946767,0.13543186252746223
0.1908842786804389,0.19941541962705067
2.0794656057366248,5.475926095106445
4.078951765098764,5.739325071833084
1.4961488435120434,0.3764365942692454
3.4124563786447175,4.106677973175252
3.9776444663577486,5.686005440916761
1.4961488435120434,4.3103589632756085
5.218925474089764,5.393813863495307
4.702791446819751,5.175203376738379
0.32311696335292167,5.534577689114401
2.1413163775995603,5.095223930363894
4.683596379689875,5.327697521159065
4.9214019335766785,4.533235020505842
5.197597621723236,6.187209971530203
1.425766930702496,5.912080676001973
1.0280024840667212,4.235711479992756
3.415655556499697,5.359689299708859
2.7022388948392857,5.951537202880052
2.462300555715829,5.157074702226829
3.5404234928438942,4.887277369790231
5.221058259326417,4.4959112788644156
1.2999326017399722,5.3170335949758005
3.557485774737118,4.570558762147268
5.245585289547926,4.94806174903484
5.035505943737611,3.583079197576953
5.180535339830012,5.6209554911988455
5.54097604482436,4.57908990309388
4.026698526800766,4.608948896407021
3.5201620330956915,3.1586549354830167
4.845688057675499,5.680673477825128
2.8771272842448274,3.5606849525920974
4.599351362842083,3.9957731408692987
6.201073075568448,3.6481291472948683
1.8971124680027975,4.808364316034072
3.074409918635225,4.226113946427818
5.109087034402138,2.151980303782825
2.543346394708641,4.801965960324114
3.184248358322852,4.016034600617502
2.930446915161151,3.9925739630143195
2.2596859582337987,2.9667042641842514
1.513211125405267,3.904063375693222
2.7310314955341006,2.496425119502276
3.498834180729162,4.798766782469134
2.1999679716075162,4.0672214462971725
5.625221061672152,3.6630586439514388
2.667047938434512,3.1778500026128933
4.277300792107488,1.7446183235821118
6.22453371317163,3.044550925322084
3.4209875195913293,2.3887194650513024
0.5822503696062549,3.28768844230052
0.2761956881465568,2.0026853372171187
5.1720041988834,3.6076062277984624
4.56416040643731,2.97310261989421
3.1565221502463636,3.443381764576185
5.32023277283078,2.6073299518082296
4.438326077474786,2.5369480389986823
1.0450647659599448,2.399383391234567
3.198111462361096,1.693431477902441
4.757177470354401,1.1570359908842245
3.3921949188965144,2.5401472168536614
1.2967334238849926,1.68170115910085
6.274654166232974,0.7763338261416732
1.1996916956172834,1.1069155378228803
3.604407049943483,0.991745135043621
2.5860020994417,0.5406610574915224
0.8093919973097939,1.4374972495040872
1.1954261251439775,0.9480230376922356
4.211184449771246,5.610291565015581
3.0082935762989838,1.05252951428823
2.9219157742145394,0.9885459571886416
3.402858845079779,0.659030638125761
4.30396060756565,0.23780555388680374
2.5156201866321526,5.8033086289326725
5.094157537745567,0.6600970307440875
6.150952622507103,1.7435519309637852
3.0957377710017546,1.281803927228422
3.865673241433469,5.182668125066665
1.947232921064142,6.195741112476815
5.237054148601315,5.945138847170094
3.7249094158143743,4.840356094583867
2.060270538606748,0.740076477118573
4.885144584553578,4.565226799055636
5.366087655418818,6.235197639354895
1.4172357897558843,5.998458478086418
4.070420624152152,6.268255810523016
5.0706969001423845,0.48094307086523985
4.544965339307433,0.7134166616604113
4.259172117595938,5.306369668792536
4.324222067313853,0.42015869162063085
1.441762819977393,5.702001330191657
3.654527503004827,6.1050977399190645
3.611871798271768,5.96753309215495
1.3991071152443342,6.020852723071274
3.125596764314896,5.57723339384746
4.302894214947323,0.5683872655680108
6.223467320553303,0.4894742118118517
4.587621044040492,6.193608327240162
2.6798446498544295,0.18981788606211242
3.8006232917155542,6.084836280170862
0.393498876162469,3.583079197576953
2.75235934790063,5.5292457260227685
2.493225941647297,5.296772135227598
3.8443453890669397,5.431137605136733
3.7345069493793126,6.07310596136927
2.3194039448600816,5.812906162497611
6.028317471399559,4.450056396276377
3.746237268180904,5.32343195068576
4.259172117595938,5.795843880604387
5.473793309869792,5.866225793413935
0.0415893121147325,5.959001951208338
4.314624533748915,5.50471869580126
