['theta(0)'],['theta(t_end)']
4.7347832253695454,1.2615424674802189
3.9520510435179133,1.0439983733416183
3.1639868985746489,4.7198537287129749
4.9800535275846345,3.1149328381316312
2.3865866798146493,2.43777352549432
4.4010023358333594,3.0232230729555543
6.0720395687509443,0.81792313825640572
3.0530820662686957,0.87870751750101472
0.39456526878079545,0.3359136747728394
3.3793982074765969,4.4628531076962945
3.5297595666606298,4.0490927717856229
5.1421452055702588,2.6873093981827152
3.1693188616662815,2.8270068311834833
2.9539075527643335,1.3201940614881751
4.4308613291465004,0.61424214815604916
3.3239457913236201,0.28685961432982154
2.3194039448600816,5.1997304069598886
4.8872773697902314,0.12476793634419749
5.3564901218538798,5.0301739806459791
3.3164810429953349,3.9541838287545663
0.52679795345327829,4.9747215644930023
3.8262167145553896,3.6118717982717681
2.0975942802481748,1.4289661085574754
2.8003470157253214,3.0584140293603279
3.914727301876487,2.7907494821603831
2.5412136094719879,2.6243922337014531
1.8587223337430445,1.2956670312666663
3.5446890633172004,0.28046125861986271
2.2052999346991489,2.1125237769047454
0.30392189622304516,6.2554590991030974
1.4598914944889432,5.6956029744816989
5.5175154072211772,4.5705587621472681
3.0178911098639221,3.5318923518972825
4.5652267990556359,3.2098417811626874
4.2431762283210412,2.8547330392599717
0.34444481571945118,3.5468218485538534
2.484694800700685,2.7331642807707532
4.1312050033967607,2.0069509076904244
5.028041195409326,2.2906113441652667
3.5969423016151976,4.2442426209393673
2.2415572837222486,1.1655671318308363
2.2628851360887783,2.3919186429062815
4.2986286444740172,1.9930878036521804
3.4220539122096558,1.4630906723439225
3.6939840298829067,1.6059872831996702
0.84031738324126171,1.0866540780746772
2.2500884246688604,1.8043363102083945
3.7281085936693539,0.17062281893223588
4.144001714816679,1.0791893297463919
5.0323067658826321,0.57158644342299014
5.7243955751765139,5.0408379068292435
4.0992132248469666,4.6366751044835102
3.2695597677889698,4.5001768493377208
4.7465135441711368,5.4780588803430978
3.6609258587147862,4.7038578394380774
3.6662578218064183,5.1293484941503413
1.0109402021734974,5.301037705700903
4.9619248530730848,4.1322713960150876
1.8384608739948416,4.630276748773551
2.1957024011342106,3.9029969830748956
3.8912666642733043,4.0949476543736614
4.0896156912820283,4.0490927717856229
3.6961168151195598,3.8933994495099573
3.6481291472948683,2.9603059084742922
3.6609258587147862,1.9749591291406303
2.1765073340043339,4.3647449868102592
3.9808436442127282,3.3431408584534967
1.2295506889304249,3.9467190804262811
6.093367421117474,3.6502619325315213
4.3444835270620556,3.7142454896311099
1.387376796442743,2.9624386937109453
3.5500210264088325,3.0669451703069397
5.6348185952370899,2.3961842133795876
3.3580703551100672,1.6326470986578321
3.1671860764296285,3.1853147509411786
4.0917484765186813,2.2436900689589017
3.6897184594096006,2.606263559189903
2.0826647835916043,2.3993833912345668
3.334609717506885,2.5380144316170088
1.4588251018706166,3.8347478555020014
0.2356727686501508,1.9621624177207126
3.8176855736087778,2.0186812264920158
3.8251503219370631,2.0453410419501776
1.7659461759486412,1.697697048375747
3.1447918314447723,3.0082935762989838
4.2868983256724267,0.066116342336241404
4.2591721175959378,1.8064690954450473
2.4633669483341554,2.1423827702178868
0.22074327199358015,1.5057463770769817
2.1263868809429898,2.0581377533700951
3.8176855736087778,1.7702117464219471
3.5649505230654035,0.87444194702770883
3.839013425975307,1.774477316895253
5.4631293836865273,1.3585841957479281
2.0304115452936071,1.2882022829383808
2.0410754714768715,6.0965665989724531
2.7651560593205478,0.80832560469146741
4.1077443657935788,0.50653649370507525
4.660135742086692,1.5100119475502876
1.2999326017399722,0.3476439935744306
3.3793982074765969,1.2551441117702602
4.7401151884611776,1.3436546990913576
2.9784345829858423,0.44681850707879267
1.5142775180235934,0.60997657768274327
3.3783318148582704,0.4830758561018928
