['x'],"['n(x,0)']","['n(x,t_end)']","['p(x,0)']","['p(x,t_end)']"
0.0,0.13120184750222727,0.87065088901012877,0.092251374954476745,0.512785625670929
0.063466518254339258,0.13839351974253358,0.72903751583648091,0.097991715126614254,0.43239670840321354
0.12693303650867852,0.15570203319865986,0.55028280716348965,0.11102188455350402,0.32866930990153359
0.19039955476301779,0.18453894259091791,0.38621505143552382,0.13250828896037897,0.2322967377356174
0.25386607301735703,0.21330385106400054,0.25508489444380811,0.1542390784661605,0.15450387080341971
0.31733259127169627,0.22458991727936806,0.15637572705413841,0.16354101452474271,0.095381615048179075
0.38079910952603557,0.20800865184963405,0.086945508338707872,0.15253114791027966,0.053405155991799264
0.44426562778037482,0.16857222612114939,0.04318130884309046,0.12448122929324514,0.026709917452242046
0.50773214603471406,0.12298667501623267,0.019099209004442196,0.091456928910158969,0.011896873186236282
0.5711986642890533,0.086850977759610523,0.0075377674136445317,0.065039017574586327,0.0047282550024447421
0.63466518254339255,0.065191300658616905,0.0026385584187932397,0.049162008033178453,0.0016667312536255622
0.69813170079773179,0.054126705643887559,0.00080228248321079741,0.041104774463693081,0.0005103485464177074
0.76159821905207115,0.048636318474285747,0.00020568766867042491,0.037194786926751336,0.00013176150139690223
0.82506473730641039,0.046937224905382623,4.3260733128082855e-05,0.036147602476102464,2.7907109804880895e-05
0.88853125556074963,0.049230182409700007,7.325501933030902e-06,0.038179851999927635,4.7588178339524545e-06
0.95199777381508888,0.055296540317397593,9.8914241528268581e-07,0.043185849083049559,6.4708484023590871e-07
1.0154642920694281,0.063919419265367788,1.0623072389787099e-07,0.050270942803415798,6.9983111587354501e-08
1.0789308103237674,0.073334027734317478,9.0955164973020269e-09,0.058080514541080069,6.0340816172584502e-09
1.1423973285781066,0.081802028161643628,6.2437475451740729e-10,0.065242364946209663,4.1712849268802399e-10
1.2058638468324459,0.088386879040165595,3.4638953250863523e-11,0.070989502055526385,2.3303974047780737e-11
1.2693303650867851,0.093348771272972947,1.5681616434476744e-12,0.07550151107159625,1.0624212834771591e-12
1.3327968833411243,0.097354161019549718,5.8575307849956511e-14,0.079294353624468281,3.9963288855755157e-14
1.3962634015954636,0.10035024003797589,1.8273110743511098e-15,0.08230891323006953,1.2554511985627715e-15
1.4597299198498028,0.10196596324154783,4.8236747071121116e-17,0.084221774037009339,3.3373831516166256e-17
1.5231964381041423,0.10320420278171459,1.0926233914050249e-18,0.085843466988206885,7.6127094967469255e-19
1.5866629563584815,0.10659058565568927,2.1551287458544161e-20,0.088660201565056676,1.5015575539876507e-20
1.6501294746128208,0.11356546482597805,3.7588617732660103e-22,0.095125478799831298,2.6373382039400731e-22
1.71359599286716,0.12216557594177321,5.8903668784116213e-24,0.10304813275855075,4.1619084516806578e-24
1.7770625111214993,0.12848948597351426,8.4308733508712321e-26,0.10914392776247009,5.9987871137124992e-26
1.8405290293758385,0.13072095755492816,1.1209199398884625e-27,0.11181959488027729,8.0316761070650123e-28
1.9039955476301778,0.13101180818780944,1.4084123276619707e-29,0.11285578909318053,1.0162536450625388e-29
1.967462065884517,0.13345928853448885,1.7019520158190048e-31,0.11577183403925308,1.2366884854796349e-31
2.0309285841388562,0.14097286837002046,2.2146676669256297e-33,0.12314884740916819,1.6205494129023555e-33
2.0943951023931957,0.1537058707674864,1.7114072309047914e-32,0.13521534410729139,1.2610949374573582e-32
2.1578616206475347,0.16936123852825613,1.4290531843493671e-30,0.15003419420153005,1.0604336945610306e-30
2.2213281389018742,0.18467529199816177,1.1566766883317632e-28,0.16475011656371025,8.6434637831811863e-29
2.2847946571562132,0.1972423617369089,8.9034475159774571e-27,0.17719760073740365,6.6999990898127838e-27
2.3482611754105527,0.20659050321156511,6.4045897436540488e-25,0.18689974279276711,4.8534276870561655e-25
2.4117276936648917,0.21354605166595522,4.2318874259393915e-23,0.19454971693121303,3.2294759979599164e-23
2.4751942119192312,0.21892202448432352,2.5255612497101266e-21,0.20084879009472109,1.9408705365891639e-21
