['u'],['m1'],['abs_m1']
0.85229109476322717,(-0.259503389666-0.151586189964j),0.30053349602984514
1.1868581131578932,(-0.219625158428-0.218018677769j),0.3094630092123431
1.3780560401548891,(-0.160785515108-0.264759448414j),0.3097572394524068
1.4536998730072652,(-0.0944553010331-0.296512831236j),0.31119393146528179
1.4128696179272902,(-0.0197453000695-0.310850428478j),0.31147691047625337
1.3230195864992695,(0.0625606345386-0.314841694562j),0.32099708040527164
1.0571849344228537,(0.133880292586-0.27899782753j),0.30945713840436584
0.76009311628472465,(0.201706559982-0.234028431988j),0.30895767237373195
0.43346210938808682,(0.26151537316-0.174841090855j),0.31457860297563378
0.13086887119198021,(0.291299712758-0.104948363876j),0.30962829607958964
-0.15969392247476377,(0.302722458804-0.0240140267502j),0.30367344392422718
-0.40967380455948221,(0.297520474088+0.0544078156503j),0.30245436499662753
-0.63139104932456058,(0.27231955441+0.128397301397j),0.30107109911122132
-0.82060918664099713,(0.225615294178+0.195513888803j),0.29854303154125977
-0.9758919385389635,(0.164509807552+0.250140520374j),0.29938897226477679
-1.0997704998407136,(0.0911291052843+0.287575934285j),0.30166940814376364
-1.1804024518481198,(0.00989838890102+0.306418578307j),0.3065784128643898
-1.2007040221550362,(-0.0721823932604+0.302689883087j),0.31117754292352801
-1.1175357939561621,(-0.147285417295+0.270784068595j),0.30824828621247669
-0.97534629720571442,(-0.213497182478+0.226257185417j),0.31108417008748318
-0.73452960955413404,(-0.266936583654+0.165407460678j),0.31402988351587369
-0.42545874076880519,(-0.302367955039+0.0962884824594j),0.31732924871291729
-0.039021211958455121,(-0.314987107683+0.018080694188j),0.31550560931473087
0.39849805982001324,(-0.302605533024-0.0641323784175j),0.30932680223020054
0.80365476041154849,(-0.277860830739-0.138621258931j),0.31051971706574877
1.151746297441232,(-0.234537496751-0.205940184512j),0.31212048471570841
1.3736035011263772,(-0.177359236971-0.259941139538j),0.3146834837787193
1.4835936057208863,(-0.105046413026-0.297991074053j),0.31596428454016928
1.4801580374890122,(-0.0360847125577-0.31853178103j),0.32056918443079074
1.3359902566182964,(0.0382791577809-0.312200028915j),0.31453799766430579
1.1271817599298395,(0.119690418892-0.291116003668j),0.31476074082762462
0.85320948306705446,(0.18466984356-0.249855197541j),0.31069369298169053
0.5467579570981953,(0.238502156238-0.193213471622j),0.30694417105794541
0.23572250820304175,(0.282235801258-0.12681665747j),0.30941802165322585
-0.077203612639579977,(0.299381745971-0.0422630034654j),0.30235011374633869
-0.34708459409766756,(0.299479544353+0.0420036756074j),0.30241082363303406
-0.57726082861584216,(0.278505137561+0.119881926306j),0.30321079780049848
