['u'],['m1'],['abs_m1']
0.81745312868905606,(-0.246317663012-0.148123165735j),0.28742453503333132
1.1585123843178922,(-0.22944624211-0.213566454219j),0.31345846357396062
1.4274090723357316,(-0.198972662033-0.27048125364j),0.33578300851452186
1.6231464541930676,(-0.155628554987-0.319753671601j),0.3556158849513229
1.7423168432213967,(-0.10391270759-0.358669329557j),0.37341871774681212
1.8205392487780665,(-0.0537502025527-0.393200002948j),0.39685680867595102
1.6986979314678541,(-0.00763746627685-0.39594578979j),0.396019443137824
1.7339693516772474,(0.031981916062-0.409232117636j),0.41047992528195498
1.7927252906344187,(0.0842909054125-0.414177315534j),0.42266748803095605
1.7256986066661679,(0.141970044063-0.40402744127j),0.42824486769931935
1.5697464934578831,(0.198864051789-0.378045145594j),0.42715927146791627
1.3687418559459006,(0.250617866495-0.337977520035j),0.42075897976818716
1.1388549054228494,(0.293666252605-0.288305337899j),0.41153351720096198
0.88641916543046717,(0.325490128451-0.233402614605j),0.40052541021013316
0.57905864308188226,(0.367701083207-0.158359709993j),0.40035220036972385
0.2613843958682443,(0.378371954672-0.0698847085589j),0.38477163171517842
-0.077091279567723062,(0.364502058168+0.0220330302896j),0.36516736550838935
-0.4057697177398269,(0.319718080632+0.112817973103j),0.33903915133536894
-0.67737841710580515,(0.260912469804+0.191218159573j),0.32348060444177346
-0.86043323372464919,(0.195139376779+0.243990054916j),0.31242682866126376
-0.95795579229627825,(0.121264584055+0.273087567563j),0.29880080137667187
-1.0106669478106243,(0.0298672878886+0.295519927375j),0.29702539009566686
-1.0108927392552309,(-0.0360199681948+0.283540382498j),0.28581915019138721
-0.97600129817717718,(-0.117367661094+0.256514601386j),0.28209024902525232
-0.90262182855375139,(-0.195613459789+0.215987766587j),0.29140236952697618
-0.73192726024163823,(-0.249710813649+0.159903550088j),0.29652088591558601
-0.47744477614095693,(-0.303223522424+0.0938293655007j),0.31740897022834241
-0.095631995329887157,(-0.339141875836+0.00877134262241j),0.33925528499502938
0.32023457571180058,(-0.3430496473-0.0809031815369j),0.35246047337989195
0.68985585139364003,(-0.325042661407-0.165205886981j),0.36461721959859072
1.0528010778933807,(-0.293140600353-0.24739720487j),0.38358413490701565
1.4341300406319508,(-0.245706873485-0.320498905245j),0.40384578237389385
1.8034120201339734,(-0.189624073609-0.382917714398j),0.42729763080554528
2.1070503090860004,(-0.126667377154-0.433294478087j),0.45142965030612953
2.3165282785315982,(-0.0559057204201-0.469514156056j),0.47283082842902213
2.4594388172959403,(0.0204006441094-0.492659859028j),0.49308206515549857
2.4457188681204309,(0.107442583497-0.498966261397j),0.51040301601836968
2.2992778152220694,(0.184761024217-0.48627425661j),0.52019158846622249
2.0871417779271901,(0.25376716095-0.459183237898j),0.5246398935871861
1.8610319117761369,(0.313439159696-0.427622659738j),0.53019359289968193
1.5839889614030931,(0.37115528852-0.387700767815j),0.53671979054252583
