['u'],['m1'],['abs_m1']
1.0038851593257798,(-0.280587722253-0.186673128429j),0.33701087038333999
1.319293919204634,(-0.233655346466-0.251271436171j),0.3431211966167616
1.5462945650493634,(-0.179101390852-0.305402398055j),0.35404510015344248
1.690940599809353,(-0.118756389716-0.347899673291j),0.36761020493767094
1.7498000060302112,(-0.0528749892077-0.377707684345j),0.38139069115108798
1.7353491154545893,(0.0167114772518-0.396679251247j),0.39703110941285513
1.5308546642801879,(0.0812909223546-0.381820441915j),0.39037810379343246
1.3249223103481316,(0.141161236064-0.360944481711j),0.3875660117252886
1.0460807271632993,(0.22171895347-0.310223322756j),0.3813106401732233
0.71045456456392864,(0.300770352775-0.240174074719j),0.38489789720881584
0.37959002165951222,(0.351509020383-0.159180234931j),0.38587166079367174
0.013009219161081565,(0.373990755617-0.0560613536846j),0.37816922225930205
-0.32566077009600708,(0.375169913866+0.0514947588j),0.378687436356136
-0.56233437746782644,(0.344257948566+0.140518885787j),0.37183207555815839
-0.75949184221839938,(0.292560045546+0.224877342625j),0.36900027029296589
-0.8998097394993676,(0.222618751629+0.28986188978j),0.3654846422544909
-1.0262647785016856,(0.131866743324+0.336619477026j),0.3615266384489802
-1.1504299003223664,(0.0352547784418+0.358492618873j),0.36022195545174496
-1.2478188440353588,(-0.0604516005876+0.351235178076j),0.35639941965690597
-1.2761950771664299,(-0.150415564819+0.320870784641j),0.35437678052589444
-1.2135552106986938,(-0.231091520053+0.273368367351j),0.35795747639710757
-1.0224650089873291,(-0.2968759619+0.206771834979j),0.36178713146580838
-0.6914003053138863,(-0.332729885895+0.123243514979j),0.35482128029755289
-0.26380263654336383,(-0.352533972215+0.0324733501495j),0.35402643974123138
0.21440344810664411,(-0.345402618612-0.0599492736546j),0.35056651915922121
0.68330940979615218,(-0.318387409224-0.147362134942j),0.35083634527697977
1.0750364589378878,(-0.275313645699-0.221662149375j),0.35345680354648584
1.4344359991845954,(-0.22714081482-0.29417393219j),0.37166012987318342
1.6521397558391477,(-0.160655590739-0.345458948418j),0.38098832512004233
1.7327922927694064,(-0.0869907048983-0.377417944966j),0.38731342336793756
1.7320508973774582,(-0.013133699546-0.393709075616j),0.39392807755457049
1.6755212195049476,(0.0542836340268-0.395502524215j),0.39921042018388397
1.5671750349359659,(0.119444202725-0.381667131469j),0.39992088818747867
1.3568928968512131,(0.188236118919-0.34509857904j),0.39309778137438522
1.0459741547209587,(0.259326046632-0.285580944468j),0.38575442227555556
0.65958483526996936,(0.322858442562-0.203512677355j),0.38164772209180459
0.26867847947242324,(0.362003249138-0.108010936947j),0.3777733644479595
-0.063229481990714306,(0.379542945274-0.0101647808583j),0.37967903560375216
-0.38395280399521059,(0.375330836322+0.0962072827728j),0.38746493770776846
-0.61898088308857535,(0.329530288621+0.190630556921j),0.38069701909842907
-0.81721929763073065,(0.261542169109+0.270173569129j),0.37602933885314449
-0.99877595035629529,(0.176996635722+0.327835445238j),0.37256393841989921
-1.1525945269987448,(0.0795125515677+0.359043530605j),0.36774244074632745
-1.2968306964141907,(-0.0245977177004+0.368915295272j),0.36973442198690265
