x	Z
0.010859495080353	-2.9673416908921
0.0743260133346925	-2.86091424993528
0.137792531589031	-2.75010502044336
0.201259049843372	-2.63611769483105
0.26472556809771	-2.52009963978322
0.328192086352049	-2.40312987579941
0.391658604606389	-2.28622743335611
0.455125122860728	-2.17035665857768
0.518591641115067	-2.0564522679445
0.582058159369406	-1.94545166836224
0.645524677623747	-1.8383305382712
0.708991195878085	-1.73616628273054
0.772457714132425	-1.64022034966111
0.835924232386763	-1.55206555477349
0.899390750641103	-1.47379288394205
0.962857268895441	-1.40815542794718
1.02632378714978	-1.35430307622766
1.08979030540412	-1.28007091454223
1.15325682365846	-1.11981633822041
1.2167233419128	-0.880465484142759
1.28018986016714	-0.646507096698594
1.34365637842148	-0.48668655577754
1.40712289667582	-0.410180936318072
1.47058941493016	-0.381742938034455
1.5340559331845	-0.373766988107188
1.5340559331845	-0.369822857615696
1.59752245143883	-0.36960959641717
1.66098896969317	-0.367536640751804
1.72445548794751	-0.366622602967238
1.78792200620185	-0.367456713371714
1.85138852445619	-0.371472944314615
1.91485504271053	-0.374535517547867
1.97832156096487	-0.369061616084318
2.04178807921921	-0.345557632816894
2.10525459747355	-0.288669951756727
2.16872111572789	-0.176612267404709
2.23218763398223	0.0173189147866242
2.29565415223657	0.320310112629305
2.35912067049091	0.752939417851195
2.42258718874524	1.32127416701753
2.48605370699958	2.01120672501709
2.54952022525392	2.78789862038673
2.61298674350826	3.60129153229525
2.6764532617626	4.39599664069853
2.73991978001694	5.12195843500267
2.80338629827128	5.74233619755021
2.86685281652562	6.23671749576413
2.93031933477996	6.59995097912979
2.9937858530343	6.83831223445539
3.05725237128864	6.96495084313103
3.12071888954298	6.99602235581182
3.18418540779732	6.94825469837629
3.24765192605166	6.84220006311194
3.31111844430599	6.70588437348586
3.37458496256033	6.54909519809831
3.43805148081467	6.37222598714621
3.50151799906901	6.16580160413691
3.56498451732335	5.91977923676262
3.62845103557769	5.63513504836793
3.69191755383203	5.32115716486005
3.75538407208637	4.98758364861238
3.81885059034071	4.64138735264279
3.88231710859505	4.2870395528709
3.94578362684939	3.92744035900321
4.00925014510373	3.56460317711502
4.07271666335807	3.20004131102368
4.1361831816124	2.83497451264067
4.19964969986674	2.47043397790669
4.26311621812108	2.10730466109751
4.32658273637542	1.74628616747637
4.39004925462976	1.38742757832071
4.4535157728841	1.02702379871047
4.51698229113844	0.6490277837922
4.58044880939278	0.225779202119877
4.64391532764712	-0.253403488089591
4.70738184590146	-0.763732090734785
4.7708483641558	-1.26503499172421
4.83431488241014	-1.72558229690926
4.89778140066448	-2.12801711889462
4.96124791891882	-2.46597978565059
5.02471443717315	-2.74015834589258
5.08818095542749	-2.955720694536
5.15164747368183	-3.12063308938849
5.21511399193617	-3.24430663405617
5.27858051019051	-3.33635180922098
5.34204702844485	-3.40540850902501
5.40551354669919	-3.45810216565477
5.46898006495353	-3.49818088311954
5.53244658320787	-3.52612439816379
5.59591310146221	-3.54251052524144
5.65937961971655	-3.54742945855903
5.72284613797089	-3.54043346464754
5.78631265622522	-3.52124075998559
5.84977917447956	-3.48977573778471
5.9132456927339	-3.44619743462592
5.97671221098824	-3.39090544302935
6.04017872924258	-3.32453211599814
6.10364524749692	-3.24791863302051
6.16711176575126	-3.16207677822136
6.2305782840056	-3.06814570485855
