['theta(0)'],['theta(t_end)']
0.40309640972740723,3.2279704556742375
3.8134200031354717,3.1426590462081196
0.48840781919352522,3.182115573086199
4.9693896014013701,3.0690779555435928
2.2746154548903696,3.3068835094303966
2.559342283983538,3.5233612109506707
2.1413163775995603,3.3143482577586818
2.9219157742145394,3.4679087947976943
0.026659815458161856,2.0624033238434012
3.168252469047955,3.4188547343546762
4.6953266984914661,3.7163782748677625
1.2818039272284221,3.7163782748677625
0.12903350681750339,2.0752000352633186
3.8731379897617542,3.5820128049586271
4.8542191986221104,3.5884111606685858
4.7689077891559926,3.640664398966583
3.0573476367420014,3.1202648012232634
0.68249127572894353,3.2258376704375844
0.2484694800700685,3.6470627546765417
3.425253090064635,3.4625768317060617
4.356213845863647,3.7099799191578038
6.2543927064847713,3.4817718988359383
1.1378409237543481,3.7089135265394773
3.5521538116454856,3.3548711772550881
2.9432436265810686,3.7025151708295185
4.0906820839003553,3.7131790970127834
0.99494431289860041,2.78861669692373
1.8917805049111653,3.715311882249436
1.3255260245798075,3.6470627546765417
3.7441044829442509,3.7089135265394773
4.4468572184213979,3.7078471339211507
3.168252469047955,3.4977677881108353
2.5646742470751707,3.6001414794701772
6.1285583775222472,2.6734462941444708
2.7235667472058149,3.5052325364391206
5.3852827225486948,3.3698006739116586
4.2186491980995324,3.5404234928438942
2.9005879218480097,3.6790545332263362
2.4100473174178316,2.102926243339807
2.7374298512440594,3.5500210264088325
2.9827001534591484,3.4103235934080645
3.5649505230654035,3.717444667486089
3.3282113617969262,3.6182701539817268
3.213040959017667,3.5094981069124267
2.8931231735197245,3.5094981069124267
1.9099091794227152,3.7142454896311099
2.8771272842448274,3.6694569996613979
1.6550413436426881,3.4967013954925088
1.2700736084268307,3.5265603888056503
4.3775416982301767,3.7142454896311099
4.0906820839003553,3.6726561775163771
0.67929209787396405,2.0453410419501776
1.8181994142466384,3.2258376704375844
0.32418335597124814,3.7163782748677625
3.8198183588454304,2.8216748680918506
4.0298977046557463,3.7025151708295185
0.88084030273766767,3.6982496003562124
1.9163075351326742,3.7163782748677625
5.2327885781280088,3.7089135265394773
3.170385254284608,3.1735844321395872
5.5836317495574193,3.7099799191578038
1.202890873472263,3.6907848520279272
2.5764045658767616,3.7067807413028242
1.9888222331788743,2.8856584251914392
4.8840781919352523,3.0296214286655134
3.6385316137299299,3.411389986026391
1.4140366119009049,2.999762435352372
4.2143836276262263,3.6385316137299299
4.387139231795115,3.5724152713936888
6.2287992836449355,3.6289340801649916
0.57371922865964309,3.6257349023100125
4.0757525872437848,3.2407671670941554
5.3543573366172268,3.1810491804678724
3.776096261494045,1.6582405214976674
3.7952913286239216,3.4977677881108353
0.20474738271868304,2.9880321165507806
1.401239900480987,3.3943277041331674
1.4737545985271874,3.123463979078243
2.4996242973572556,1.9301706391709184
2.4889603711739907,3.1895803214144842
2.08693035406491,3.6534611103865005
4.4767162117345389,3.0274886434288604
3.9957731408692987,1.8875149344378594
3.6353324358749508,3.6438635768215626
4.5577620507273506,3.7089135265394773
3.2343688113841962,3.5969423016151976
5.7745160282378576,3.6715897848980505
3.6001414794701772,3.6150709761267477
3.5884111606685858,3.6886520667912741
5.0877591820356081,3.6907848520279272
1.4940160582753903,3.4412489793395324
2.651052049159615,3.2503647006590932
3.289821227537173,3.4604440464694086
2.0752000352633186,3.7003823855928655
0.7699354704317144,3.7099799191578038
4.0245657415641141,3.6321332580199712
4.4095334767799708,3.3943277041331674
2.6723799015261442,1.7318216121621941
6.2256001057899564,3.6491955399131948
3.4444481571945116,3.7035815634478451
5.0760288632340176,3.6886520667912741
2.363126042211467,3.6726561775163771
1.6027881053446908,3.2972859758654582
4.354081060626994,3.6833201036996419
2.0314779379119332,3.0520156736503692
2.4121801026544847,3.0125591467722899
4.5833554735671864,3.6982496003562124
3.9328559763880371,3.3570039624917407
2.6830438277094091,2.0560049681334425
1.6166512093829348,3.2866220496821934
5.9483380250250733,3.2471655228041141
2.2170302535007398,3.6331996506382978
2.0858639614465835,2.7790191633587917
0.48414224872021927,3.2759581234989286
4.0981468322286405,3.6961168151195598
3.6374652211116034,2.026145974820301
1.6102528536729761,3.4604440464694086
3.3026179389570904,3.7238430231960478
5.2317221855096827,3.3879293484232087
2.423910421456076,3.3900621336598613
2.0464074345685042,3.6715897848980505
4.0917484765186813,2.8120773345269123
3.9488518656629341,2.2767482401270223
4.1695951376565139,3.3292777544152523
2.2938105220202458,3.7078471339211507
3.2876884423005199,1.7830084578418648
5.9643339142999698,3.5713488787753622
5.0610993665774462,3.0904058079101224
5.4066105749152245,3.3047507241937435
3.4231203048279824,3.4828382914542648
6.0731059613692704,3.7089135265394773
1.6934314779024411,3.7163782748677625
3.6694569996613979,3.6971832077378859
3.1223975864599165,3.7003823855928655
1.8811165787279005,3.3559375698734142
3.0392189622304513,3.6790545332263362
4.1493336779083112,3.474307150507653
4.7731733596292987,0.70488552071379951
3.4209875195913293,3.5820128049586271
3.4711079726526735,3.6865192815546215
3.9563166139912194,3.6843864963179684
3.3932613115148409,3.715311882249436
5.1080206417838117,3.5553529895004652
0.37110463117761305,3.7142454896311099
1.7403527531088059,3.563884130447077
3.6513283251498478,3.3196802208503144
2.0517393976601364,3.6961168151195598
3.6257349023100125,3.6950504225012333
4.8712814805153339,3.6598594660964596
6.1296247701405742,3.6502619325315213
3.9040633756932221,2.3311342636616725
5.3543573366172268,3.7089135265394773
4.78170450057591,3.6363988284932769
0.38816691307083662,3.7163782748677625
6.032583041872865,3.2695597677889698
2.7470273848089977,3.5361579223705886
5.6636111959319049,3.4551120833777764
3.9040633756932221,3.2674269825523168
5.0770952558523437,3.4401825867212059
3.5649505230654035,3.2237048852009313
3.98937478515934,1.6625060919709733
0.72408058784367602,3.6897184594096006
2.1573122668744573,3.5414898854622208
0.17062281893223588,3.7089135265394773
2.6990397169843061,3.4444481571945116
5.0387051215925904,2.084797568828257
4.4074006915433177,3.4540456907594499
4.5172391312309443,1.2498121486786278
4.9704559940196962,3.5126972847674063
2.5326824685253762,3.3452736436901498
2.8845920325731127,2.4047153543261994
4.4223301881998882,1.8267305551932502
2.9507083749093543,3.1693188616662815
4.9235347188133316,3.1469246166814253
4.3391515639704235,3.2684933751706433
2.4772300523723998,3.7089135265394773
5.5079178736562397,3.5884111606685858
2.6019979887165969,3.5425562780805473
4.9107380073934142,2.0986606728665014
1.4780201690004933,3.5084317142941002
3.7217102379593952,3.0008288279706985
3.5318923518972825,3.4785727209809587
5.7990430584593664,2.7320978881524272
3.1650532911929754,3.5286931740423033
2.1157229547597249,3.5308259592789559
1.5942569643980788,3.456178475996103
2.5444127873269675,2.3460637603182435
