['x'],"['n(x,0)']","['n(x,t_end)']","['p(x,0)']","['p(x,t_end)']"
0.0,0.13124725219163477,0.31571769329596017,0.092353558943585948,0.25167400601357454
0.063466518254339258,0.14569725961351315,0.30458860442968194,0.10324178548107014,0.24450840859953388
0.12693303650867852,0.16459208682398893,0.31100751688905232,0.11745020577618302,0.25141532169220659
0.19039955476301779,0.18683524639612889,0.34073912555250996,0.13425929011534332,0.27738537957768966
0.25386607301735703,0.20476993012263384,0.38430401042853207,0.14818096767859618,0.31504833275010036
0.31733259127169627,0.20792711119469437,0.42844887350896826,0.15152282938282302,0.35370563714503667
0.38079910952603557,0.19015061423299823,0.46504296747156271,0.13954214391446923,0.38661327693137931
0.44426562778037482,0.15530452582961726,0.49319621081166809,0.11477108241608344,0.41289927605953425
0.50773214603471406,0.11555755604394502,0.51616977484655657,0.085997815764066371,0.43516871664337992
0.5711986642890533,0.082873378297056211,0.53624679382035134,0.062107610775285815,0.45527155079674214
0.63466518254339255,0.06202330504795011,0.55150038050523442,0.046808571923130371,0.47151154140944551
0.69813170079773179,0.051021563687240958,0.55748075694739574,0.038776174240488161,0.47997332235388473
0.76159821905207115,0.046196739980040639,0.55245518818142114,0.035356008526334269,0.47898838433130625
0.82506473730641039,0.045562113875134314,0.54082850533872062,0.03511530726231335,0.47220241742683539
0.88853125556074963,0.048564060408009452,0.53086515426121972,0.037691923882045883,0.46675992213016104
0.95199777381508888,0.054835337779785047,0.52859921483004801,0.042858260950282376,0.46803309131580806
1.0154642920694281,0.06364023079877526,0.53311603866766311,0.050089474427088006,0.4753489092977416
1.0789308103237674,0.073542987238821286,0.53611182346667519,0.058290355273432959,0.48137867336579471
1.1423973285781066,0.082556479134697769,0.52571386447885471,0.065894217605770036,0.47535886565547719
1.2058638468324459,0.089375159960437656,0.49316858585280915,0.071837908872341275,0.44906404015339035
1.2693303650867851,0.09432700191128994,0.43871992599231069,0.076350799300753655,0.40229157860336495
1.3327968833411243,0.098440573837513701,0.37233779721090959,0.080240273552700817,0.34382021978458438
1.3962634015954636,0.10191239841453523,0.30817985876279885,0.083653861577888788,0.286575624398684
1.4597299198498028,0.10444413916569312,0.25630605726524203,0.086334375673550401,0.24001289343173149
1.5231964381041423,0.10696420929891029,0.2181691512810488,0.089038712226796823,0.2057357441345273
1.5866629563584815,0.11174206903888714,0.1891217645343958,0.093015878806498087,0.17834376093068938
1.6501294746128208,0.11993842799520502,0.16389798348438334,0.10054013045042169,0.155643406299143
1.71359599286716,0.12945809883948917,0.13982544173668005,0.10928260124982692,0.13371619923983874
1.7770625111214993,0.13629104169768416,0.11689418785873797,0.11585901102675776,0.11257227648023571
1.8405290293758385,0.1384127002837322,0.096259766280442929,0.11848930564088304,0.093352088933742111
1.9039955476301778,0.13788437491606886,0.078918656755629132,0.11886636304061428,0.077072532474572367
1.967462065884517,0.13901746259174802,0.065401223965629321,0.12068519166476727,0.0643200728834743
2.0309285841388562,0.14500385429240781,0.055865405442313235,0.12676661112540782,0.055327916196479907
2.0943951023931957,0.15614292860930776,0.050011659471727504,0.13746380529367738,0.049878493889201639
2.1578616206475347,0.17038212422358157,0.046926746328466967,0.15105349448355604,0.047130626871921183
2.2213281389018742,0.18493890741156258,0.044989425949953442,0.1651108992971492,0.045502360994863773
2.2847946571562132,0.19769801356062999,0.042388888302488791,0.17774216586275074,0.043173396231083114
2.3482611754105527,0.20783694643121048,0.038359916787642029,0.18817053617853419,0.039344365899906461
2.4117276936648917,0.21555839751140846,0.033649098980394893,0.19653256518950418,0.03475513986558515
2.4751942119192312,0.22170036593147424,0.029421551178037589,0.20355261841945177,0.030602145384399385
2.5386607301735702,0.22774512977137165,0.026051795878208193,0.21057174152938649,0.027287558622081355
2.6021272484279097,0.23513309903702195,0.023149518589310244,0.21893009489715931,0.024417977319699306
2.6655937666822487,0.24396051890350279,0.020401381086807498,0.22874518068400834,0.021670453371251678
2.7290602849365881,0.25259624977997064,0.018072805449442342,0.23850638500011728,0.019331907551175281
2.7925268031909272,0.25827292003102997,0.016701014079510908,0.24557982820735749,0.017990063043020321
2.8559933214452666,0.25848143753130581,0.016565851013320067,0.24750494817987062,0.017969843767358246
2.9194598396996057,0.25310129069447118,0.017611447773205422,0.24405605810271869,0.019238283325158
2.9829263579539451,0.24507206783348018,0.0195352848180208,0.23797413386626054,0.021489767243858499
3.0463928762082846,0.23820790587689328,0.021614639019726899,0.23293396419898202,0.023944218012475718
3.1098593944626236,0.2346362756455915,0.022765324963485826,0.23105347796598569,0.025396111915991958
3.1733259127169631,0.23445531573862483,0.022203442488366486,0.23249742352282993,0.024943328092738068
3.2367924309713021,0.23688750471806047,0.019969761139741988,0.23655978727913551,0.022591634988236891
3.3002589492256416,0.24098552227053013,0.016699881075251138,0.24234297050003209,0.019025184527714147
3.3637254674799806,0.24555512267460003,0.013181832191846427,0.24867331302554191,0.015122792213278382
3.42719198573432,0.24918046676166106,0.010341006324468473,0.2541176812129663,0.011947023476743137
3.4906585039886591,0.25068479071982003,0.0092830707343297091,0.25744803509163799,0.010800137385672599
