['u'],['m1'],['abs_m1']
0.83395972976841692,(-0.259772173828-0.160338660693j),0.30527048401128415
1.1689336639807848,(-0.217731747995-0.225576725467j),0.31351550704429176
1.4219464977427847,(-0.172885374314-0.278508604344j),0.32780542299616738
1.5831990551422603,(-0.120469957506-0.318908646246j),0.34090429054466359
1.6577089065463,(-0.0611467863786-0.347992893036j),0.35332418978564428
1.6738919328744986,(0.00226749303685-0.36943995177j),0.36944691024314724
1.5081539260033445,(0.0628630125034-0.358589556098j),0.36405800098823043
1.340378883517052,(0.113081475618-0.344090836099j),0.36219597404671239
1.1058682463102727,(0.179627010807-0.306826393829j),0.35553944782745894
0.80851408564678318,(0.2557875013-0.247796506752j),0.35613249582149253
0.48729855395999538,(0.309528468612-0.177154816467j),0.35663945642467043
0.15329424823891399,(0.336383252307-0.0911839885649j),0.34852290054304319
-0.20469192346838813,(0.345795071084+0.0107163932013j),0.34596108490580652
-0.47316136560157224,(0.335212491864+0.0984786056997j),0.34937866346186836
-0.66445277884471432,(0.299937596483+0.17231632231j),0.34591252755319396
-0.81802159094844407,(0.239391776159+0.241359922706j),0.33994563503778336
-0.94610742705522366,(0.161248985398+0.293815906687j),0.33515522122476832
-1.0953979078717992,(0.0696134532068+0.32396481089j),0.33135967099557945
-1.2169398436759724,(-0.0201701691123+0.329956781128j),0.33057270476352568
-1.2578771282238193,(-0.114440819345+0.31477001893j),0.33492815042859569
-1.2084583382346987,(-0.191839438701+0.277410485503j),0.33728170378532507
-1.0536712266182717,(-0.259952013904+0.221047111853j),0.34122847945564233
-0.7885209296031529,(-0.303798156406+0.150096068646j),0.33885417167045068
-0.40951478960974208,(-0.327943140988+0.0662269570925j),0.33456346717320906
0.024476674385447088,(-0.330344361272-0.0195834715644j),0.33092432576427089
0.48310566834715807,(-0.315879558159-0.102961287442j),0.33223624422136566
0.9244916269229011,(-0.279639243477-0.179270518197j),0.33216866978543164
1.3018329506898532,(-0.24026484244-0.250255586565j),0.34692225803453081
1.5572793071952755,(-0.185294022993-0.306659097025j),0.35829272494056819
1.6836726519325271,(-0.119985107215-0.347215388866j),0.36736215403724892
1.712307285443466,(-0.051547360555-0.371195718625j),0.37475777764504187
1.7108065988424508,(0.00752867345746-0.385170672116j),0.38524424406086399
1.6404969861525418,(0.070545265957-0.382056321886j),0.38851469424177426
1.4806640314149933,(0.134111738725-0.362043458328j),0.3860847370482563
1.2410479155387186,(0.20195352188-0.325117413875j),0.38273562390279925
0.90464001334010302,(0.269462784474-0.260842648763j),0.37503210479924981
0.53341936546405588,(0.323895434567-0.180634387076j),0.370859858069996
0.19217431196797966,(0.361405984658-0.09354857476j),0.37331705236462648
-0.14748732337868498,(0.36757073742+0.00586873526899j),0.3676175853532857
-0.42396079800914999,(0.349788745021+0.0983890402073j),0.36336286185614763
-0.68407175623003003,(0.31276739672+0.178239199069j),0.3599898005997712
-0.90391922199448194,(0.241825699293+0.258561210847j),0.3540248135276477
-1.0620435513011817,(0.153603341925+0.314113974713j),0.34965922805032912
-1.1939591793852478,(0.0577943063421+0.34460751253j),0.34942026205939469
-1.2981726826253353,(-0.0372382698964+0.344127055203j),0.34613598320239924
-1.3433187406310318,(-0.120140937559+0.323502558673j),0.34509093054609502
-1.2634567719367813,(-0.194721019612+0.279364918546j),0.34053051727104416
-1.1116993306305891,(-0.270844952471+0.226334999787j),0.35296532465365027
-0.80717500905843886,(-0.319946045663+0.150826023991j),0.35371451998510756
-0.36363924453569418,(-0.343159662592+0.0629640707029j),0.34888827470929057
0.14109806411121334,(-0.3454824257-0.0315705340055j),0.34692190055537658
0.61799354409871832,(-0.324982393588-0.119734108697j),0.34633771513835987
1.015622109010502,(-0.293304449682-0.198613783986j),0.35422441388558196
1.3463035637677792,(-0.249011670735-0.268906879535j),0.36649382262637303
1.6097240112951821,(-0.196135820167-0.328848898298j),0.3828979731788395
