['u'],['m1'],['abs_m1']
0.83508686210875427,(-0.238312133948-0.153115878748j),0.28326162025932089
1.1537863045103649,(-0.224385200413-0.216399186596j),0.31173277999557003
1.4306467911602001,(-0.202018013898-0.274216654579j),0.34059661123976742
1.6507799987744567,(-0.170140487922-0.325306817292j),0.36711348518806008
1.8209854219472656,(-0.127699051837-0.370182512511j),0.3915892496085126
1.93821744145387,(-0.0802979941604-0.408901494165j),0.41671117071278174
1.9790407170356683,(-0.041572230663-0.433292392462j),0.4352821472647776
2.1105800743808971,(-0.00150951673808-0.460879097128j),0.4608815691801606
2.1644421643433844,(0.0572114737201-0.472670938621j),0.47612075037974494
2.1720370631273287,(0.126853190931-0.475852318752j),0.49247046745093231
2.0907762654339157,(0.198103089805-0.466623836652j),0.50693455112335195
1.9888213487436606,(0.266167877869-0.449111910076j),0.52206019478726751
1.8605100007333286,(0.332465563239-0.425444131295j),0.53994079267363515
1.6795789014321891,(0.399804796837-0.393761203614j),0.56115217280667162
1.4534488819671316,(0.463327549631-0.350914548355j),0.58121720423108303
1.2224636525136083,(0.51510611557-0.299814297623j),0.59600580815715509
0.94979323891229084,(0.564536817873-0.239470025048j),0.61322729198115444
0.61739028996166923,(0.608680485108-0.156200928877j),0.62840326473800423
0.20563565371814241,(0.651692448898-0.0473610059346j),0.65341113614131885
-0.35358804694672907,(0.718951491453+0.0523837353712j),0.72085733872500823
-0.64301488006792717,(0.70406098754+0.193249290408j),0.73010078921923804
-0.85511712708403109,(0.649797223666+0.322151919491j),0.72527118453442019
-1.0397143490329859,(0.575541200568+0.405728427212j),0.704175567738207
-1.075040088022615,(0.45292117509+0.497354999649j),0.67268089501624018
-1.2360143792373295,(0.28066742392+0.546590086946j),0.6144387080881305
-1.7996853311732319,(0.0983497080543+0.539950148163j),0.54883406196772233
-2.3142436671445923,(-0.107028252801+0.542298633059j),0.5527593095690666
-2.3916428568136472,(-0.229662629061+0.445970040385j),0.50163153819112483
-2.1003493684066665,(-0.313061895343+0.327036785894j),0.45272597632999018
-1.4881060537630857,(-0.357598236998+0.19585400097j),0.40771962032738163
-0.77030085002460724,(-0.371886689943+0.061115659537j),0.37687509070943326
-0.059668331075000185,(-0.357002954034-0.0687203308268j),0.36355686358239164
0.60308511850853808,(-0.311698865685-0.187002905208j),0.36349177353170331
1.1660932936380128,(-0.256094616813-0.288199011157j),0.3855426342090143
1.6651668123148817,(-0.193405265106-0.37545504677j),0.42234119940581222
2.1293639614368853,(-0.121414964639-0.450564321909j),0.46663669145847542
2.5354050342890799,(-0.0422170483856-0.517745482116j),0.51946382301987337
2.6808298527733427,(0.0344863101529-0.558652480849j),0.55971591003556498
